Is Dead,Accession Number,Catalogue Number,Accepted Name,TaxonomicName,Genus,Family,Provenance Code,Legacy Provenance Code,Country ISO,Last Seen On,source_file
ALIVE,2025-1015,K:LCD-2025-1015*1,Sporobolus durus,Sporobolus durus,Sporobolus,Poaceae,,,"Saint Helena, Ascension, and Tristan da Cunha",29-07-2025,TropicalNursery_Simplified.xlsx
ALIVE,1985-2070,K:LCD-1985-2070*3,Lotus berthelotii,Lotus berthelotii,Lotus,Fabaceae,,,,29-12-2024,TropicalNursery_Simplified.xlsx
ALIVE,2025-767,K:LCD-2025-767*1,Cleistocactus,Cleistocactus,Cleistocactus,Cactaceae,,,,19-06-2025,TropicalNursery_Simplified.xlsx
ALIVE,2025-1014,K:LCD-2025-1014*1,Polystichum lentum,Polystichum lentum,Polystichum,Polypodiaceae,W - Wild,,Malaysia,28-07-2025,TropicalNursery_Simplified.xlsx
ALIVE,2002-2685,K:LCD-2002-2685*1,Adenium obesum,Adenium obesum,Adenium,Apocynaceae,,,,12-02-2024,TropicalNursery_Simplified.xlsx
ALIVE,2001-3853,K:LCD-2001-3853*2,Selenicereus validus,Selenicereus validus,Selenicereus,Cactaceae,,,,28-07-2025,TropicalNursery_Simplified.xlsx
ALIVE,2025-1013,K:LCD-2025-1013*1,Coelogyne sanderiana,Coelogyne sanderiana,Coelogyne,Orchidaceae,,,,26-07-2025,TropicalNursery_Simplified.xlsx
ALIVE,2025-1012,K:LCD-2025-1012*1,Bulbophyllum gymnopus,Bulbophyllum gymnopus,Bulbophyllum,Orchidaceae,,,,26-07-2025,TropicalNursery_Simplified.xlsx
ALIVE,2025-1011,K:LCD-2025-1011*1,Bulbophyllum sulcatum,Bulbophyllum sulcatum,Bulbophyllum,Orchidaceae,G - Garden,,,26-07-2025,TropicalNursery_Simplified.xlsx
ALIVE,2025-1010,K:LCD-2025-1010*1,Ceratostylis subulata,Ceratostylis subulata,Ceratostylis,Orchidaceae,G - Garden,,,26-07-2025,TropicalNursery_Simplified.xlsx
ALIVE,2025-1009,K:LCD-2025-1009*1,Maxillaria miniata,Maxillaria miniata,Maxillaria,Orchidaceae,G - Garden,,,26-07-2025,TropicalNursery_Simplified.xlsx
ALIVE,2025-1008,K:LCD-2025-1008*1,Bulbophyllum,Bulbophyllum,Bulbophyllum,Orchidaceae,G - Garden,,,26-07-2025,TropicalNursery_Simplified.xlsx
ALIVE,2025-1007,K:LCD-2025-1007*1,Bulbophyllum longiflorum,Bulbophyllum longiflorum,Bulbophyllum,Orchidaceae,G - Garden,,,26-07-2025,TropicalNursery_Simplified.xlsx
ALIVE,2025-1006,K:LCD-2025-1006*1,Bulbophyllum cocoinum,Bulbophyllum cocoinum,Bulbophyllum,Orchidaceae,G - Garden,,,26-07-2025,TropicalNursery_Simplified.xlsx
ALIVE,2025-1005,K:LCD-2025-1005*1,Bulbophyllum stolzii,Bulbophyllum stolzii,Bulbophyllum,Orchidaceae,G - Garden,,,26-07-2025,TropicalNursery_Simplified.xlsx
ALIVE,2025-999,K:LCD-2025-999*1,Eria,Eria,Eria,Orchidaceae,G - Garden,,,26-07-2025,TropicalNursery_Simplified.xlsx
ALIVE,2025-994,K:LCD-2025-994*1,Bulbophyllum,Bulbophyllum,Bulbophyllum,Orchidaceae,U - Unknown,,,26-07-2025,TropicalNursery_Simplified.xlsx
ALIVE,2025-993,K:LCD-2025-993*1,Maxillaria,Maxillaria,Maxillaria,Orchidaceae,G - Garden,,,26-07-2025,TropicalNursery_Simplified.xlsx
ALIVE,2025-1004,K:LCD-2025-1004*1,Bulbophyllum falcatum var. velutinum,Bulbophyllum falcatum var. velutinum,Bulbophyllum,Orchidaceae,G - Garden,,,26-07-2025,TropicalNursery_Simplified.xlsx
ALIVE,2025-1003,K:LCD-2025-1003*1,Bulbophyllum careyanum,Bulbophyllum careyanum,Bulbophyllum,Orchidaceae,G - Garden,,,26-07-2025,TropicalNursery_Simplified.xlsx
ALIVE,2025-1001,K:LCD-2025-1001*1,Bulbophyllum,Bulbophyllum,Bulbophyllum,Orchidaceae,G - Garden,,,26-07-2025,TropicalNursery_Simplified.xlsx
ALIVE,2025-1000,K:LCD-2025-1000*1,Bulbophyllum lilacinum,Bulbophyllum lilacinum,Bulbophyllum,Orchidaceae,G - Garden,,,26-07-2025,TropicalNursery_Simplified.xlsx
ALIVE,2025-998,K:LCD-2025-998*1,Bulbophyllum gibbosum,Bulbophyllum gibbosum,Bulbophyllum,Orchidaceae,G - Garden,,,26-07-2025,TropicalNursery_Simplified.xlsx
ALIVE,2025-997,K:LCD-2025-997*1,Bulbophyllum orientale,Bulbophyllum orientale,Bulbophyllum,Orchidaceae,G - Garden,,,26-07-2025,TropicalNursery_Simplified.xlsx
ALIVE,2024-0449,K:LCD-2024-0449*1,Musschia wollastonii,Musschia wollastonii,Musschia,Campanulaceae,,,,26-07-2025,TropicalNursery_Simplified.xlsx
ALIVE,2025-996,K:LCD-2025-996*1,Bulbophyllum longerepens,Bulbophyllum longerepens,Bulbophyllum,Orchidaceae,G - Garden,,,26-07-2025,TropicalNursery_Simplified.xlsx
ALIVE,2025-995,K:LCD-2025-995*1,Bulbophyllum stenobulbon,Bulbophyllum stenobulbon,Bulbophyllum,Orchidaceae,G - Garden,,,26-07-2025,TropicalNursery_Simplified.xlsx
ALIVE,2024-1084,K:LCD-2024-1084*1,Kniphofia pauciflora,Kniphofia pauciflora,Kniphofia,Asphodelaceae,,,,26-07-2025,TropicalNursery_Simplified.xlsx
ALIVE,2025-992,K:LCD-2025-992*1,Cinnamomum daphnoides,Cinnamomum daphnoides,Cinnamomum,Lauraceae,,,,25-07-2025,TropicalNursery_Simplified.xlsx
ALIVE,2025-991,K:LCD-2025-991*1,Podocarpus totara,Podocarpus totara,Podocarpus,Podocarpaceae,,,,25-07-2025,TropicalNursery_Simplified.xlsx
ALIVE,2025-990,K:LCD-2025-990*1,Lophomyrtus obcordata,Lophomyrtus obcordata,Lophomyrtus,Myrtaceae,,,,25-07-2025,TropicalNursery_Simplified.xlsx
ALIVE,1973-13709,K:LCD-1973-13709*4,Vanilla imperialis,Vanilla imperialis,Vanilla,Orchidaceae,,,,16-01-2025,TropicalNursery_Simplified.xlsx
ALIVE,2005-148,K:LCD-2005-148*1,,Pelargonium 'Lemon Sherbert',Pelargonium,Geraniaceae,,,,25-07-2025,TropicalNursery_Simplified.xlsx
ALIVE,2015-1850,K:LCD-2015-1850*1,Hakea drupacea,Hakea suaveolens,Hakea,Proteaceae,,,,25-07-2025,TropicalNursery_Simplified.xlsx
ALIVE,1993-3437,K:LCD-1993-3437*1,,Jasminum polyanthum 'Harlequin',Jasminum,Oleaceae,,,,25-07-2025,TropicalNursery_Simplified.xlsx
ALIVE,2013-576,K:LCD-2013-576*4,Citrus hystrix,Citrus hystrix,Citrus,Rutaceae,,,,25-07-2025,TropicalNursery_Simplified.xlsx
ALIVE,2014-1360,K:LCD-2014-1360*1,Alyogyne,Alyogyne,Alyogyne,Malvaceae,,,Australia,25-07-2025,TropicalNursery_Simplified.xlsx
ALIVE,2025-989,K:LCD-2025-989*1,Bulbophyllum schinzianum,Bulbophyllum schinzianum,Bulbophyllum,Orchidaceae,,,,25-07-2025,TropicalNursery_Simplified.xlsx
ALIVE,2025-987,K:LCD-2025-987*1,Begonia venosa,Begonia venosa,Begonia,Begoniaceae,,,,25-07-2025,TropicalNursery_Simplified.xlsx
ALIVE,2025-986,K:LCD-2025-986*1,Senecio vira-vira,Senecio vira-vira,Senecio,Asteraceae,U - Unknown,,,25-07-2025,TropicalNursery_Simplified.xlsx
ALIVE,2025-985,K:LCD-2025-985*1,Psoralea pinnata,Psoralea pinnata,Psoralea,Fabaceae,,,,25-07-2025,TropicalNursery_Simplified.xlsx
ALIVE,2025-984,K:LCD-2025-984*1,Pteris tremula,Pteris tremula,Pteris,Pteridaceae,,,,25-07-2025,TropicalNursery_Simplified.xlsx
ALIVE,2025-983,K:LCD-2025-983*1,Melaleuca squarrosa,Melaleuca squarrosa,Melaleuca,Myrtaceae,W - Wild,,Australia,25-07-2025,TropicalNursery_Simplified.xlsx
ALIVE,2025-981,K:LCD-2025-981*1,Begonia pachypoda,Begonia pachypoda,Begonia,Begoniaceae,U - Unknown,,,25-07-2025,TropicalNursery_Simplified.xlsx
ALIVE,2025-979,K:LCD-2025-979*1,Diplazium esculentum,Diplazium esculentum,Diplazium,Aspleniaceae,W - Wild,,Papua New Guinea,25-07-2025,TropicalNursery_Simplified.xlsx
ALIVE,2025-978,K:LCD-2025-978*1,Blechnum parrisiae,Blechnum parrisiae,Blechnum,Aspleniaceae,U - Unknown,,,25-07-2025,TropicalNursery_Simplified.xlsx
ALIVE,2025-977,K:LCD-2025-977*1,Phegopteris decursive-pinnata,Phegopteris decursive-pinnata,Phegopteris,Aspleniaceae,,,,25-07-2025,TropicalNursery_Simplified.xlsx
ALIVE,2025-976,K:LCD-2025-976*1,Pteris longifolia,Pteris longifolia,Pteris,Pteridaceae,G - Garden,,,25-07-2025,TropicalNursery_Simplified.xlsx
ALIVE,2025-975,K:LCD-2025-975*1,Parapolystichum glabellum,Parapolystichum glabellum,Parapolystichum,Polypodiaceae,G - Garden,,,25-07-2025,TropicalNursery_Simplified.xlsx
ALIVE,2025-974,K:LCD-2025-974*1,Microlepia strigosa,Microlepia strigosa,Microlepia,Dennstaedtiaceae,U - Unknown,,,25-07-2025,TropicalNursery_Simplified.xlsx
ALIVE,2025-973,K:LCD-2025-973*1,Begonia,Begonia,Begonia,Begoniaceae,G - Garden,,,24-07-2025,TropicalNursery_Simplified.xlsx
ALIVE,2025-972,K:LCD-2025-972*1,Begonia laminariae,Begonia laminariae,Begonia,Begoniaceae,,,,24-07-2025,TropicalNursery_Simplified.xlsx
ALIVE,2025-970,K:LCD-2025-970*1,Blechnum chambersii,Blechnum chambersii,Blechnum,Aspleniaceae,,,,24-07-2025,TropicalNursery_Simplified.xlsx
ALIVE,2025-969,K:LCD-2025-969*1,Blechnum fluviatile,Blechnum fluviatile,Blechnum,Aspleniaceae,U - Unknown,,,24-07-2025,TropicalNursery_Simplified.xlsx
ALIVE,2025-770,K:LCD-2025-770*1,Calanthe wallichii,Calanthe wallichii,Calanthe,Orchidaceae,G - Garden,,,19-06-2025,TropicalNursery_Simplified.xlsx
ALIVE,2025-968,K:LCD-2025-968*2,Ceropegia simoneae,Ceropegia simoneae,Ceropegia,Apocynaceae,,,,24-07-2025,TropicalNursery_Simplified.xlsx
ALIVE,2025-968,K:LCD-2025-968*4,Ceropegia simoneae,Ceropegia simoneae,Ceropegia,Apocynaceae,,,,24-07-2025,TropicalNursery_Simplified.xlsx
ALIVE,2025-968,K:LCD-2025-968*3,Ceropegia simoneae,Ceropegia simoneae,Ceropegia,Apocynaceae,,,,24-07-2025,TropicalNursery_Simplified.xlsx
ALIVE,2025-968,K:LCD-2025-968*1,Ceropegia simoneae,Ceropegia simoneae,Ceropegia,Apocynaceae,,,,24-07-2025,TropicalNursery_Simplified.xlsx
ALIVE,2025-724,K:LCD-2025-724*1,Bulbophyllum gracillimum,Bulbophyllum gracillimum,Bulbophyllum,Orchidaceae,G - Garden,,,07-06-2025,TropicalNursery_Simplified.xlsx
ALIVE,2025-941,K:LCD-2025-941*1,Pilularia globulifera,Pilularia globulifera,Pilularia,Marsileaceae,W - Wild,,United Kingdom,21-07-2025,TropicalNursery_Simplified.xlsx
ALIVE,2025-967,K:LCD-2025-967*2,Ceropegia simoneae,Ceropegia simoneae,Ceropegia,Apocynaceae,,,,24-07-2025,TropicalNursery_Simplified.xlsx
ALIVE,1997-6061,K:LCD-1997-6061*1,Deamia chontalensis,Strophocactus chontalensis,Strophocactus,Cactaceae,,N - Natural Source and Progeny,Mexico,24-07-2025,TropicalNursery_Simplified.xlsx
ALIVE,2025-297,K:LCD-2025-297*1,Begonia hahiepiana,Begonia hahiepiana,Begonia,Begoniaceae,G - Garden,,,24-07-2025,TropicalNursery_Simplified.xlsx
ALIVE,2018-1794,K:LCD-2018-1794*1,Maxillaria jamesonii,Maxillaria jamesonii,Maxillaria,Orchidaceae,,,,04-12-2024,TropicalNursery_Simplified.xlsx
ALIVE,2025-964,K:LCD-2025-964*1,,Citrus × limon 'Palestine',,,,,,23-07-2025,TropicalNursery_Simplified.xlsx
ALIVE,2025-742,K:LCD-2025-742*1,Trichotosia gracilis,Trichotosia gracilis,Trichotosia,Orchidaceae,G - Garden,,,23-07-2025,TropicalNursery_Simplified.xlsx
ALIVE,1988-1945,K:LCD-1988-1945*1,Begonia diadema,Begonia diadema,Begonia,Begoniaceae,,,,12-05-2022,TropicalNursery_Simplified.xlsx
ALIVE,1988-3340,K:LCD-1988-3340*1,,Begonia 'Burle Marx',Begonia,Begoniaceae,,,,12-05-2022,TropicalNursery_Simplified.xlsx
ALIVE,1989-1745,K:LCD-1989-1745*1,Polystachya dolichophylla,Polystachya dolichophylla,Polystachya,Orchidaceae,,N - Natural Source and Progeny,Cameroon,26-09-2024,TropicalNursery_Simplified.xlsx
ALIVE,1992-2097,K:LCD-1992-2097*1,Begonia gehrtii,Begonia gehrtii,Begonia,Begoniaceae,,,,12-05-2022,TropicalNursery_Simplified.xlsx
ALIVE,1999-3374,K:LCD-1999-3374*1,Begonia longifolia,Begonia longifolia,Begonia,Begoniaceae,,,,12-05-2022,TropicalNursery_Simplified.xlsx
ALIVE,1995-3970,K:LCD-1995-3970*1,Nepenthes pervillei,Nepenthes pervillei,Nepenthes,Nepenthaceae,,,,26-07-2023,TropicalNursery_Simplified.xlsx
ALIVE,1999-3386,K:LCD-1999-3386*1,Begonia serotina,Begonia serotina,Begonia,Begoniaceae,,,,12-05-2022,TropicalNursery_Simplified.xlsx
ALIVE,2000-2719,K:LCD-2000-2719*1,Begonia corallina,Begonia corallina,Begonia,Begoniaceae,,,,12-05-2022,TropicalNursery_Simplified.xlsx
ALIVE,2001-1417,K:LCD-2001-1417*1,Nepenthes ventricosa,Nepenthes ventricosa,Nepenthes,Nepenthaceae,,,,26-07-2023,TropicalNursery_Simplified.xlsx
ALIVE,2002-2487,K:LCD-2002-2487*1,Oncidium isthmi,Oncidium isthmi,Oncidium,Orchidaceae,,,,22-01-2025,TropicalNursery_Simplified.xlsx
ALIVE,2003-2755,K:LCD-2003-2755*1,Nepenthes × superba,Nepenthes × superba,Nepenthes,Nepenthaceae,,,,29-10-2024,TropicalNursery_Simplified.xlsx
ALIVE,2004-716,K:LCD-2004-716*1,Bulbophyllum auratum,Bulbophyllum auratum,Bulbophyllum,Orchidaceae,,,,24-04-2024,TropicalNursery_Simplified.xlsx
ALIVE,2005-2697,K:LCD-2005-2697*1,Polystachya nyanzensis,Polystachya nyanzensis,Polystachya,Orchidaceae,,,,26-09-2024,TropicalNursery_Simplified.xlsx
ALIVE,2005-916,K:LCD-2005-916*1,Gomesa barbaceniae,Oncidium montanum,Oncidium,Orchidaceae,,,,22-01-2025,TropicalNursery_Simplified.xlsx
ALIVE,2005-2752,K:LCD-2005-2752*1,Oncidium andradeanum,Oncidium andradeanum,Oncidium,Orchidaceae,,,,22-01-2025,TropicalNursery_Simplified.xlsx
ALIVE,2010-1257,K:LCD-2010-1257*1,,Nepenthes ampullaria 'Brunei Red',Nepenthes,Nepenthaceae,,N - Natural Source and Progeny,Brunei,02-08-2023,TropicalNursery_Simplified.xlsx
ALIVE,1953-39101,K:LCD-1953-39101*1,Begonia acerifolia,Begonia acerifolia,Begonia,Begoniaceae,,,,12-05-2022,TropicalNursery_Simplified.xlsx
ALIVE,1947-41102,K:LCD-1947-41102*1,Coelogyne huettneriana,Coelogyne huettneriana,Coelogyne,Orchidaceae,,,,08-07-2024,TropicalNursery_Simplified.xlsx
ALIVE,1953-39104,K:LCD-1953-39104*1,Begonia nepalensis,Begonia gigantea,Begonia,Begoniaceae,,,,12-05-2022,TropicalNursery_Simplified.xlsx
ALIVE,1954-15601,K:LCD-1954-15601*1,Begonia sanguinea,Begonia sanguinea,Begonia,Begoniaceae,,,,02-06-2025,TropicalNursery_Simplified.xlsx
ALIVE,1958-79703,K:LCD-1958-79703*1,Begonia obliqua,Begonia dominicalis,Begonia,Begoniaceae,,,,12-05-2022,TropicalNursery_Simplified.xlsx
ALIVE,1962-56704,K:LCD-1962-56704*1,,Begonia 'Lettonica',Begonia,Begoniaceae,,,,12-05-2022,TropicalNursery_Simplified.xlsx
ALIVE,1962-70305,K:LCD-1962-70305*1,Oncidium baueri,Oncidium baueri,Oncidium,Orchidaceae,,,,22-01-2025,TropicalNursery_Simplified.xlsx
ALIVE,1968-27001,K:LCD-1968-27001*1,Begonia isoptera,Begonia isoptera,Begonia,Begoniaceae,,,,12-05-2022,TropicalNursery_Simplified.xlsx
ALIVE,1969-17689,K:LCD-1969-17689*1,,Begonia × digswelliana,Begonia,Begoniaceae,,,,12-05-2022,TropicalNursery_Simplified.xlsx
ALIVE,1970-4596,K:LCD-1970-4596*1,Begonia itaguassuensis,Begonia itaguassuensis,Begonia,Begoniaceae,,,,12-05-2022,TropicalNursery_Simplified.xlsx
ALIVE,1972-1897,K:LCD-1972-1897*1,Begonia platanifolia,Begonia platanifolia,Begonia,Begoniaceae,,,,12-05-2022,TropicalNursery_Simplified.xlsx
ALIVE,1973-19840,K:LCD-1973-19840*1,Begonia luxurians,Begonia luxurians,Begonia,Begoniaceae,,,,15-02-2024,TropicalNursery_Simplified.xlsx
ALIVE,1973-20958,K:LCD-1973-20958*1,Begonia fagifolia,Begonia fagifolia,Begonia,Begoniaceae,,,,12-05-2022,TropicalNursery_Simplified.xlsx
ALIVE,1973-20959,K:LCD-1973-20959*1,Begonia furfuracea,Begonia furfuracea,Begonia,Begoniaceae,,,,13-05-2022,TropicalNursery_Simplified.xlsx
ALIVE,1973-3472,K:LCD-1973-3472*1,Pinalia spicata,Pinalia spicata,Pinalia,Orchidaceae,,N - Natural Source and Progeny,Nepal,19-10-2021,TropicalNursery_Simplified.xlsx
ALIVE,1974-1128,K:LCD-1974-1128*1,Begonia reniformis,Begonia reniformis,Begonia,Begoniaceae,,N - Natural Source and Progeny,Brazil,12-05-2022,TropicalNursery_Simplified.xlsx
ALIVE,1977-490,K:LCD-1977-490*1,Begonia dipetala,Begonia dipetala,Begonia,Begoniaceae,,N - Natural Source and Progeny,India,12-05-2022,TropicalNursery_Simplified.xlsx
ALIVE,1977-492,K:LCD-1977-492*1,Begonia malabarica,Begonia malabarica,Begonia,Begoniaceae,,N - Natural Source and Progeny,India,12-05-2022,TropicalNursery_Simplified.xlsx
ALIVE,1978-1949,K:LCD-1978-1949*1,Bulbophyllum baileyi,Bulbophyllum baileyi,Bulbophyllum,Orchidaceae,,N - Natural Source and Progeny,Australia,16-01-2025,TropicalNursery_Simplified.xlsx
ALIVE,1979-193,K:LCD-1979-193*1,Begonia augustinei,Begonia augustinei,Begonia,Begoniaceae,,,,12-05-2022,TropicalNursery_Simplified.xlsx
ALIVE,1980-530,K:LCD-1980-530*1,Begonia meridensis,Begonia meridensis,Begonia,Begoniaceae,,N - Natural Source and Progeny,Venezuela,13-05-2022,TropicalNursery_Simplified.xlsx
ALIVE,1979-206,K:LCD-1979-206*1,Begonia obliqua,Begonia dominicalis,Begonia,Begoniaceae,,,,12-05-2022,TropicalNursery_Simplified.xlsx
ALIVE,1980-6137,K:LCD-1980-6137*1,Begonia corallina,Begonia corallina,Begonia,Begoniaceae,,,,12-05-2022,TropicalNursery_Simplified.xlsx
ALIVE,1983-2403,K:LCD-1983-2403*1,Polystachya setifera,Polystachya setifera,Polystachya,Orchidaceae,,N - Natural Source and Progeny,Sao Tome and Principe,26-09-2024,TropicalNursery_Simplified.xlsx
ALIVE,1984-2362,K:LCD-1984-2362*1,Begonia microsperma,Begonia microsperma,Begonia,Begoniaceae,,,,12-05-2022,TropicalNursery_Simplified.xlsx
ALIVE,1984-2364,K:LCD-1984-2364*1,Begonia × albopicta,Begonia × albopicta,Begonia,Begoniaceae,,,,12-05-2022,TropicalNursery_Simplified.xlsx
ALIVE,1984-2371,K:LCD-1984-2371*1,Begonia olbia,Begonia olbia,Begonia,Begoniaceae,,,,12-05-2022,TropicalNursery_Simplified.xlsx
ALIVE,1984-3421,K:LCD-1984-3421*1,Begonia rajah,Begonia rajah,Begonia,Begoniaceae,,,,12-05-2022,TropicalNursery_Simplified.xlsx
ALIVE,1984-3422,K:LCD-1984-3422*1,Begonia ramentacea,Begonia ramentacea,Begonia,Begoniaceae,,,,12-05-2022,TropicalNursery_Simplified.xlsx
ALIVE,1986-4578,K:LCD-1986-4578*1,Bulbophyllum biantennatum,Bulbophyllum biantennatum,Bulbophyllum,Orchidaceae,,N - Natural Source and Progeny,Indonesia,16-01-2025,TropicalNursery_Simplified.xlsx
ALIVE,1986-2965,K:LCD-1986-2965*1,Begonia quadrialata,Begonia quadrialata,Begonia,Begoniaceae,,N - Natural Source and Progeny,Nigeria,12-05-2022,TropicalNursery_Simplified.xlsx
ALIVE,2011-1519,K:LCD-2011-1519*1,Bulbophyllum maxillare,Bulbophyllum maxillare,Bulbophyllum,Orchidaceae,,N - Natural Source and Progeny,Papua New Guinea,16-01-2025,TropicalNursery_Simplified.xlsx
ALIVE,2011-1577,K:LCD-2011-1577*1,Bulbophyllum cerinum,Bulbophyllum cerinum,Bulbophyllum,Orchidaceae,,N - Natural Source and Progeny,Papua New Guinea,16-01-2025,TropicalNursery_Simplified.xlsx
ALIVE,2013-1666,K:LCD-2013-1666*1,Coelogyne pallens,Coelogyne pallens,Coelogyne,Orchidaceae,,N - Natural Source and Progeny,,16-01-2025,TropicalNursery_Simplified.xlsx
ALIVE,2014-219,K:LCD-2014-219*1,Bulbophyllum pubiflorum,Bulbophyllum pubiflorum,Bulbophyllum,Orchidaceae,,,,04-11-2024,TropicalNursery_Simplified.xlsx
ALIVE,2017-1662,K:LCD-2017-1662*1,Maxillaria chrysantha,Maxillaria chrysantha,Maxillaria,Orchidaceae,,,,04-12-2024,TropicalNursery_Simplified.xlsx
ALIVE,2015-2708,K:LCD-2015-2708*1,Bulbophyllum quadrangulare,Bulbophyllum quadrangulare,Bulbophyllum,Orchidaceae,,N - Natural Source and Progeny,,04-11-2024,TropicalNursery_Simplified.xlsx
ALIVE,2017-554,K:LCD-2017-554*1,Maxillaria acutifolia,Maxillaria acutifolia,Maxillaria,Orchidaceae,,,,04-12-2024,TropicalNursery_Simplified.xlsx
ALIVE,2017-560,K:LCD-2017-560*1,Maxillaria anatomorum,Maxillaria anatomorum,Maxillaria,Orchidaceae,,,,04-12-2024,TropicalNursery_Simplified.xlsx
ALIVE,2017-572,K:LCD-2017-572*1,Maxillaria aurea,Maxillaria aurea,Maxillaria,Orchidaceae,,,,04-12-2024,TropicalNursery_Simplified.xlsx
ALIVE,2017-596,K:LCD-2017-596*1,Maxillaria carolii,Maxillaria carolii,Maxillaria,Orchidaceae,,,,19-02-2025,TropicalNursery_Simplified.xlsx
ALIVE,2017-602,K:LCD-2017-602*1,Maxillaria coccinea,Maxillaria coccinea,Maxillaria,Orchidaceae,,,,04-12-2024,TropicalNursery_Simplified.xlsx
ALIVE,2019-1998,K:LCD-2019-1998*1,Coelogyne xyrekes,Coelogyne xyrekes,Coelogyne,Orchidaceae,,,,22-04-2022,TropicalNursery_Simplified.xlsx
ALIVE,2022-1459,K:LCD-2022-1459*1,Coelogyne longibulbosa,Coelogyne longibulbosa,Coelogyne,Orchidaceae,,,,15-11-2022,TropicalNursery_Simplified.xlsx
ALIVE,2022-1530,K:LCD-2022-1530*1,Coelogyne salvaneraniana,Coelogyne salvaneraniana,Coelogyne,Orchidaceae,,,,25-12-2024,TropicalNursery_Simplified.xlsx
ALIVE,2022-341,K:LCD-2022-341*1,,Oncidium Twinkle gx 'White',Oncidium,Orchidaceae,,,,22-01-2025,TropicalNursery_Simplified.xlsx
ALIVE,2022-238,K:LCD-2022-238*1,Coelogyne odoardi,Coelogyne odoardi,Coelogyne,Orchidaceae,,,,04-01-2023,TropicalNursery_Simplified.xlsx
ALIVE,2022-407,K:LCD-2022-407*1,Coelogyne chloroptera,Coelogyne chloroptera,Coelogyne,Orchidaceae,,,,26-12-2024,TropicalNursery_Simplified.xlsx
ALIVE,2022-413,K:LCD-2022-413*1,Coelogyne lawrenceana,Coelogyne lawrenceana,Coelogyne,Orchidaceae,,,,10-12-2024,TropicalNursery_Simplified.xlsx
ALIVE,2022-928,K:LCD-2022-928*1,Begonia limprichtii,Begonia limprichtii,Begonia,Begoniaceae,,,,16-08-2022,TropicalNursery_Simplified.xlsx
ALIVE,2022-938,K:LCD-2022-938*1,Begonia rubiteae,Begonia rubiteae,Begonia,Begoniaceae,,,,08-04-2024,TropicalNursery_Simplified.xlsx
ALIVE,1973-13741,K:LCD-1973-13741*5,Platycerium superbum,Platycerium superbum,Platycerium,Polypodiaceae,,,,30-01-2024,TropicalNursery_Simplified.xlsx
ALIVE,2023-0724,K:LCD-2023-0724*1,Bulbophyllum phalaenopsis,Bulbophyllum phalaenopsis,Bulbophyllum,Orchidaceae,,,,08-08-2024,TropicalNursery_Simplified.xlsx
ALIVE,2020-948,K:LCD-2020-948*1,Platycerium bifurcatum subsp. willinckii,Platycerium bifurcatum subsp. willinckii,Platycerium,Polypodiaceae,,,,05-07-2022,TropicalNursery_Simplified.xlsx
ALIVE,2023-1642,K:LCD-2023-1642*1,,Platycerium 'Mt Kitshakood',Platycerium,Polypodiaceae,,,,09-06-2025,TropicalNursery_Simplified.xlsx
ALIVE,2020-950,K:LCD-2020-950*1,Platycerium hillii,Platycerium hillii,Platycerium,Polypodiaceae,,,,14-11-2022,TropicalNursery_Simplified.xlsx
ALIVE,1976-1559,K:LCD-1976-1559*1,Platycerium grande,Platycerium grande,Platycerium,Polypodiaceae,,N - Natural Source and Progeny,Philippines,05-07-2022,TropicalNursery_Simplified.xlsx
ALIVE,2017-2358,K:LCD-2017-2358*1,Lecanopteris sinuosa,Lecanopteris sinuosa,Lecanopteris,Polypodiaceae,,,,11-01-2023,TropicalNursery_Simplified.xlsx
ALIVE,2025-904,K:LCD-2025-904*1,Davallia canariensis,Davallia canariensis,Davallia,Polypodiaceae,U - Unknown,,,15-07-2025,TropicalNursery_Simplified.xlsx
ALIVE,2025-905,K:LCD-2025-905*1,Davallia tyermannii,Davallia tyermannii,Davallia,Polypodiaceae,G - Garden,,,15-07-2025,TropicalNursery_Simplified.xlsx
ALIVE,2025-949,K:LCD-2025-949*1,Hypodematium crenatum,Hypodematium crenatum,Hypodematium,Polypodiaceae,G - Garden,,,22-07-2025,TropicalNursery_Simplified.xlsx
ALIVE,2025-963,K:LCD-2025-963*1,Platycerium wandae,Platycerium wandae,Platycerium,Polypodiaceae,,,,22-07-2025,TropicalNursery_Simplified.xlsx
ALIVE,2025-962,K:LCD-2025-962*1,Hemionitis viridis,Hemionitis viridis,Hemionitis,Pteridaceae,G - Garden,,,22-07-2025,TropicalNursery_Simplified.xlsx
ALIVE,2025-961,K:LCD-2025-961*1,,Pellaea cordifolia,Pellaea,Pteridaceae,G - Garden,,,22-07-2025,TropicalNursery_Simplified.xlsx
ALIVE,2025-960,K:LCD-2025-960*1,Alsophila firma,Alsophila firma,Alsophila,Cyatheaceae,G - Garden,,,22-07-2025,TropicalNursery_Simplified.xlsx
ALIVE,2025-959,K:LCD-2025-959*1,Angiopteris evecta,Angiopteris evecta,Angiopteris,Marattiaceae,G - Garden,,,22-07-2025,TropicalNursery_Simplified.xlsx
ALIVE,2025-958,K:LCD-2025-958*1,Asplenium adiantum-nigrum,Asplenium adiantum-nigrum,Asplenium,Aspleniaceae,G - Garden,,,22-07-2025,TropicalNursery_Simplified.xlsx
